state_code,location_id,location_name,street_num,street_num_half,street_prefix,street_name,street_type,street_suffix,apt_type,apt_num,city,state,zip,zip4,datetime_created,is_active,data_sharing_committee_id,created_by_committee_id,latitude,longitude,is_staging_location,datetime_modified,van_precinct_id,datetime_suppressed,imputed_precinct_id
NH,13663,Dunkin Donuts,30,,,Indian,Trl,,,,Windham,NH,03087,,2019-09-26 18:15:00,t,73296,73296,42.792901,-71.311177,f,2019-10-08 21:41:57.26,,,972504
NH,14784,261 1st New Hampshire Turnpike,261,,,1St NH,Tpke,,,,Northwood,NH,03261,3405,2019-11-14 21:59:00,t,73296,73296,43.198176,-71.15808,f,2019-12-11 20:28:34.047,,,972415
NH,14731,Johnson's Seafood and Steak,1334,,,1St NH,Tpke,,,,Northwood,NH,03261,3214,2019-11-12 21:10:00,t,73296,73296,43.223339,-71.249881,f,2019-11-12 21:10:31.457,972415,,972415
NH,12433,Plymouth Town Common,,,,POST OFFICE,Sq,,,,Plymouth,NH,03264,,2019-07-23 16:00:00,t,73296,73296,43.757428,-71.688355,f,2019-08-22 15:27:42.137,,,972429
NH,12434,Temporary Plymouth Field Office,17,,,Railroad,Sq,,,,Plymouth,NH,03264,1602,2019-07-23 16:04:00,t,73296,73296,43.75542,-71.686891,f,2019-07-23 16:04:36.39,972429,,972429
NH,13976,Keene State College,309,,,Student,Ctr,,,,Keene,NH,03431,,2019-10-07 15:27:00,t,73296,73296,42.956141,-72.307433,f,2019-10-10 23:31:50.957,,,972333
NH,12234,Keene Central Square,,,,CENTRAL,Sq,,,,Keene,NH,03431,,2019-07-09 21:22:00,t,73296,73296,42.933814,-72.27858,f,2019-12-11 23:50:34.737,,,972335
NH,12854,Fitzwilliam Town Library,11,,,Templeton,Tpke,,,,Fitzwilliam,NH,03447,3335,2019-08-13 15:59:00,t,73296,73296,42.779894,-72.144593,f,2019-08-13 15:59:44.463,972282,,972282
NH,12544,Twelve Pines,11,,,School St Depot,Sq,,,,Peterborough,NH,03458,,2019-07-26 23:12:00,t,73296,73296,42.87666,-71.95029,f,2019-11-05 20:46:50.323,,,972422
NH,14931,Bernie Peterborough Office,,,,NOONE,Fls,,,,Peterborough,NH,03458,,2019-11-21 22:40:00,t,73296,73296,42.85966,-71.962039,t,2020-01-05 03:14:50.113,,,972422
NH,12440,Berlin Dunkin' Donuts,9,,,Green,Sq,,,,Berlin,NH,03570,1931,2019-07-23 19:38:00,t,73296,73296,44.468329,-71.183791,f,2019-07-23 19:38:25.233,972206,,972206
NH,14061,Claremont Bernie Office,24,,,Opera House,Sq,,,,Claremont,NH,03743,5408,2019-10-10 19:31:00,t,73296,73296,43.372925,-72.338211,f,2020-01-04 19:14:23.48,,,972231
