"","van_precinct_id","total_count","sup_count","sup_prop","X1","precinct_name","van_precinct_name","voting_dis","voting_d_2","fo_id","region_id"
"1",972186,2,0,0,295,"Acworth","ACWORTH","ACWO01","TOWN OF ACWORTH",39,5
"2",972187,9,2,0.222222222222222,202,"Albany","ALBANY","ALBA01","TOWN OF ALBANY",14,6
"3",972188,1,0,0,181,"Alexandria","ALEXANDRIA","ALEX01","TOWN OF ALEXANDRIA",39,5
"4",972189,33,3,0.0909090909090909,307,"Allenstown","ALLENSTOWN","ALLE01","TOWN OF ALLENSTOWN",20,4
"5",972190,1,1,1,65,"Alstead","ALSTEAD","ALST01","TOWN OF ALSTEAD",34,3
"6",972191,43,11,0.255813953488372,86,"Alton","ALTON","ALTO01","TOWN OF ALTON",44,6
"7",972192,9,2,0.222222222222222,129,"Amherst","AMHERST","AMHE01","TOWN OF AMHERST",18,2
"8",972193,1,0,0,144,"Andover","ANDOVER","ANDO01","TOWN OF ANDOVER",38,4
"9",972194,1,1,1,35,"Antrim","ANTRIM","ANTR01","TOWN OF ANTRIM",34,3
"10",972195,4,1,0.25,203,"Ashland","ASHLAND","ASHL01","TOWN OF ASHLAND",75,5
"11",972196,10,1,0.1,24,"Atkinson","ATKINSON","ATKI01","TOWN OF ATKINSON",67,8
"12",972197,12,2,0.166666666666667,50,"Auburn","AUBURN","AUBU01","TOWN OF AUBURN",29,1
"13",972198,4,0,0,279,"Barnstead","BARNSTEAD","BARN01","TOWN OF BARNSTEAD",44,6
"14",972199,6,1,0.166666666666667,273,"Barrington","BARRINGTON","BARR01","TOWN OF BARRINGTON",45,7
"15",972200,3,2,0.666666666666667,98,"Bartlett","BARTLETT","BART01","TOWN OF BARTLETT",14,6
"16",972201,1,0,0,142,"Bath","BATH","BATH01","TOWN OF BATH",66,5
"17",972202,77,18,0.233766233766234,111,"Bedford","BEDFORD","BEDF01","TOWN OF BEDFORD",31,2
"18",972203,10,1,0.1,199,"Belmont","BELMONT","BELM01","TOWN OF BELMONT",44,6
"19",972207,6,2,0.333333333333333,94,"Berlin - Ward 02","BERLIN WARD 02","BERL02","BERLIN WARD 2",6,6
"20",972211,2,0,0,52,"Boscawen","BOSCAWEN","BOSC01","TOWN OF BOSCAWEN",4,4
"21",972212,7,0,0,25,"Bow","BOW","0BOW01","TOWN OF BOW",20,4
"22",972214,1,1,1,67,"Brentwood","BRENTWOOD","BREN01","TOWN OF BRENTWOOD",48,8
"23",972215,4,0,0,306,"Bridgewater","BRIDGEWATER","BRID01","TOWN OF BRIDGEWATER",39,5
"24",972218,31,9,0.290322580645161,20,"Brookline","BROOKLINE","BRKL01","TOWN OF BROOKLINE",31,2
"25",972220,7,2,0.285714285714286,18,"Campton","CAMPTON","CAMP01","TOWN OF CAMPTON",75,5
"26",972221,3,1,0.333333333333333,2,"Canaan","CANAAN","CANA01","TOWN OF CANAAN",72,5
"27",972222,3,0,0,7,"Candia","CANDIA","CAND01","TOWN OF CANDIA",48,8
"28",972223,5,1,0.2,87,"Canterbury","CANTERBURY","CANT01","TOWN OF CANTERBURY",4,4
"29",972226,10,2,0.2,257,"Charlestown","CHARLESTOWN","CHAR01","TOWN OF CHARLESTOWN",62,5
"30",972227,3,1,0.333333333333333,45,"Chatham","CHATHAM","CHAT01","TOWN OF CHATHAM",14,6
"31",972228,18,6,0.333333333333333,71,"Chester","CHESTER","CHSR01","TOWN OF CHESTER",29,1
"32",972229,6,3,0.5,314,"Chesterfield","CHESTERFIELD","CHES01","TOWN OF CHESTERFIELD",35,3
"33",972231,1,0,0,166,"Claremont - Ward 01","CLAREMONT WARD 01","CLAR01","CLAREMONT WARD 1",62,5
"34",972235,1,0,0,220,"Colebrook","COLEBROOK","COLE01","TOWN OF COLEBROOK",6,6
"35",972239,10,2,0.2,231,"Concord - Ward 03","CONCORD WARD 03","CONC03","CONCORD WARD 3",12,4
"36",972240,1,0,0,280,"Concord - Ward 04","CONCORD WARD 04","CONC04","CONCORD WARD 4",37,4
"37",972241,16,3,0.1875,120,"Concord - Ward 05","CONCORD WARD 05","CONC05","CONCORD WARD 5",37,4
"38",972243,4,0,0,5,"Concord - Ward 07","CONCORD WARD 07","CONC07","CONCORD WARD 7",37,4
"39",972244,3,1,0.333333333333333,105,"Concord - Ward 08","CONCORD WARD 08","CONC08","CONCORD WARD 8",37,4
"40",972245,1,0,0,152,"Concord - Ward 09","CONCORD WARD 09","CONC09","CONCORD WARD 9",37,4
"41",972246,5,1,0.2,267,"Concord - Ward 10","CONCORD WARD 10","CONC10","CONCORD WARD 10",37,4
"42",972247,9,2,0.222222222222222,48,"Conway","CONWAY","CONW01","TOWN OF CONWAY",14,6
"43",972248,8,0,0,17,"Cornish","CORNISH","CORN01","TOWN OF CORNISH",62,5
"44",972249,6,2,0.333333333333333,256,"Croydon","CROYDON","CROY01","TOWN OF CROYDON",39,5
"45",972250,3,0,0,259,"Dalton","DALTON","DALT01","TOWN OF DALTON",6,6
"46",972252,1,0,0,205,"Danville","DANVILLE","DANV01","TOWN OF DANVILLE",67,8
"47",972253,5,1,0.2,84,"Deerfield","DEERFIELD","DFLD01","TOWN OF DEERFIELD",55,7
"48",972255,5,3,0.6,82,"Derry - Ward 01","DERRY WARD 01","DERR01","DERRY WARD 1",69,1
"49",972257,4,0,0,76,"Derry - Ward 03","DERRY WARD 03","DERR03","DERRY WARD 3",27,1
"50",972258,17,6,0.352941176470588,14,"Derry - Ward 04","DERRY WARD 04","DERR04","DERRY WARD 4",69,1
"51",972261,1,1,1,288,"Dublin","DUBLIN","DUBL01","TOWN OF DUBLIN",11,3
"52",972262,5,1,0.2,127,"Dover - Ward 01","DOVER WARD 01","DOVE01","DOVER WARD 1",7,7
"53",972264,7,2,0.285714285714286,174,"Dover - Ward 03","DOVER WARD 03","DOVE03","DOVER WARD 3",7,7
"54",972265,1,0,0,253,"Dover - Ward 04","DOVER WARD 04","DOVE04","DOVER WARD 4",7,7
"55",972266,14,5,0.357142857142857,189,"Dover - Ward 05","DOVER WARD 05","DOVE05","DOVER WARD 5",7,7
"56",972267,1,1,1,9,"Dover - Ward 06","DOVER WARD 06","DOVE06","DOVER WARD 6",7,7
"57",972269,5,1,0.2,10,"Dunbarton","DUNBARTON","DUNB01","TOWN OF DUNBARTON",20,4
"58",972270,9,2,0.222222222222222,150,"Durham","DURHAM","DURH01","TOWN OF DURHAM",73,7
"59",972271,8,1,0.125,132,"East Kingston","EAST KINGSTON","EKIN01","TOWN OF EAST KINGSTON",67,8
"60",972273,15,1,0.0666666666666667,135,"Eaton","EATON","EATO01","TOWN OF EATON",14,6
"61",972276,2,0,0,291,"Enfield","ENFIELD","ENFI01","TOWN OF ENFIELD",74,5
"62",972277,5,0,0,219,"Epping","EPPING","EPPI01","TOWN OF EPPING",48,8
"63",972278,1,1,1,184,"Epsom","EPSOM","EPSO01","TOWN OF EPSOM",20,4
"64",972279,2,1,0.5,47,"Errol","ERROL","ERRO01","TOWN OF ERROL",42,6
"65",972280,20,4,0.2,242,"Exeter","EXETER","EXET01","TOWN OF EXETER",48,8
"66",972284,2,0,0,265,"Franconia","FRANCONIA","FRCA01","TOWN OF FRANCONIA",66,5
"67",972285,1,0,0,128,"Franklin - Ward 01","FRANKLIN WARD 01","FRAN01","FRANKLIN WARD 1",38,4
"68",972289,18,6,0.333333333333333,145,"Fremont","FREMONT","FREM01","TOWN OF FREMONT",48,8
"69",972290,15,3,0.2,151,"Gilford","GILFORD","GILF01","TOWN OF GILFORD",44,6
"70",972291,2,2,1,183,"Gilmanton","GILMANTON","GILM01","TOWN OF GILMANTON",44,6
"71",972293,35,12,0.342857142857143,180,"Goffstown - Ward 01","GOFFSTOWN WARD 01","GOFF01","TOWN OF GOFFSTOWN WARD 1",68,3
"72",972294,7,1,0.142857142857143,112,"Goffstown - Ward 05","GOFFSTOWN WARD 05","GOFF05","TOWN OF GOFFSTOWN WARD 5",68,3
"73",972295,6,2,0.333333333333333,26,"Gorham","GORHAM","GORH01","TOWN OF GORHAM",6,6
"74",972297,10,3,0.3,214,"Grafton","GRAFTON","GRAF01","TOWN OF GRAFTON",39,5
"75",972298,6,1,0.166666666666667,175,"Grantham","GRANTHAM","GRAN01","TOWN OF GRANTHAM",74,5
"76",972301,109,19,0.174311926605505,272,"Greenland","GREENLAND","GRND01","TOWN OF GREENLAND",8,8
"77",972305,24,4,0.166666666666667,241,"Hampstead","HAMPSTEAD","HMST01","TOWN OF HAMPSTEAD",67,8
"78",972306,21,4,0.19047619047619,102,"Hampton","HAMPTON","HMTN01","TOWN OF HAMPTON",49,8
"79",972308,3,1,0.333333333333333,209,"Hancock","HANCOCK","HANC01","TOWN OF HANCOCK",11,3
"80",972309,8,1,0.125,161,"Hanover","HANOVER","HANO01","TOWN OF HANOVER",72,5
"81",972312,3,0,0,238,"Haverhill","HAVERHILL","HAVE01","TOWN OF HAVERHILL",66,5
"82",972313,2,0,0,227,"Hebron","HEBRON","HEBR01","TOWN OF HEBRON",39,5
"83",972316,7,0,0,90,"Hillsborough","HILLSBOROUGH","HILS01","TOWN OF HILLSBOROUGH",34,3
"84",972317,9,1,0.111111111111111,262,"Hinsdale","HINSDALE","HINS01","TOWN OF HINSDALE",35,3
"85",972318,3,0,0,44,"Holderness","HOLDERNESS","HOLD01","TOWN OF HOLDERNESS",75,5
"86",972319,7,1,0.142857142857143,139,"Hollis","HOLLIS","HOLL01","TOWN OF HOLLIS",31,2
"87",972321,5,1,0.2,204,"Hooksett - Ward 02","HOOKSETT WARD 02","HOOK02","TOWN OF HOOKSETT WARD 2",9,1
"88",972322,1,0,0,185,"Hooksett - Ward 03","HOOKSETT WARD 03","HOOK03","TOWN OF HOOKSETT WARD 3",28,1
"89",972324,7,4,0.571428571428571,239,"Hooksett - Ward 05","HOOKSETT WARD 05","HOOK05","TOWN OF HOOKSETT WARD 5",9,1
