dnc_precinct_id,create_date,modified_date,state_code,county,town,ward,other,precinct_code,national_precinct_code,precinct_name,is_active,nz_precinct_id,van_precinct_id,van_precinct_name
366990,2008-08-18 21:37:57,2008-08-18 21:37:57,NH,,,,,,,,f,59800311,972259,
376551,2008-08-18 21:37:57,2011-06-22 07:07:11.553,NH,,,,,,,,f,60100297,972198,
382264,2008-08-18 21:37:57,2011-06-22 07:07:11.55,NH,,,,,,,,f,59800318,972414,
384055,2008-08-18 21:37:57,2011-06-22 07:07:11.553,NH,,,,,,,,f,59800309,972473,
394875,2008-08-18 21:37:57,2011-06-22 07:07:11.553,NH,,,,,,,,f,60200315,972237,
435769,2008-08-18 21:37:57,2011-06-22 07:07:11.55,NH,,,,,,,,f,60400332,972507,
448620,2008-08-18 21:37:57,2011-06-22 07:07:11.547,NH,,,,,,,,f,59000295,972458,
449759,2008-01-17 14:11:47,2014-01-06 17:54:25.42,NH,,FARMINGTON,,,,NH_FARMINGTON,Farmington,t,31502851,972281,Farmington
585834,2007-10-01 19:37:34,2012-01-02 17:04:49.707,NH,,CANAAN,,,,NH_CANAAN,Canaan,t,101800010,972221,Canaan
585835,2008-09-29 14:55:58,2012-01-02 17:04:50.163,NH,,CONCORD,02,,,NH_CONCORD_W02,Concord - Ward 02,t,102100003,972238,Concord - Ward 02
585836,2007-10-01 19:37:34,2012-01-02 17:05:02.953,NH,,LOUDON,,,,NH_LOUDON,Loudon,t,102000005,972357,Loudon
585837,2008-09-29 14:55:58,2012-01-02 17:04:50.39,NH,,CONCORD,07,,,NH_CONCORD_W07,Concord - Ward 07,t,101900008,972243,Concord - Ward 07
585838,2007-10-01 19:37:34,2012-01-02 17:05:00.677,NH,,SUGAR HILL,,,,NH_SUGAR HILL,Sugar Hill,t,101700013,972475,Sugar Hill
585839,2007-10-01 19:37:34,2012-01-02 17:04:49.71,NH,,CANDIA,,,,NH_CANDIA,Candia,t,101500018,972222,Candia
585840,2008-09-29 14:55:58,2012-01-02 17:04:57.69,NH,,NASHUA,07,,,NH_NASHUA_W07,Nashua - Ward 07,t,102800011,972396,Nashua - Ward 07
585841,2008-09-29 14:55:58,2012-01-02 17:04:51.52,NH,,DOVER,06,,,NH_DOVER_W06,Dover - Ward 06,t,102900009,972267,Dover - Ward 06
585842,2007-10-01 19:37:34,2012-01-02 17:04:51.527,NH,,DUNBARTON,,,,NH_DUNBARTON,Dunbarton,t,103000007,972269,Dunbarton
585843,2008-09-29 14:55:58,2012-01-02 17:04:59.287,NH,,PORTSMOUTH,05,,,NH_PORTSMOUTH_W05,Portsmouth - Ward 05,t,103100004,972434,Portsmouth - Ward 05
